DATA,PPVS,MAIN_EVENT,LOW_TICKETS,HIGH_TICKETS,ATTENDANCE
2017-01-29,"Royal Rumble","30-man Royal Rumble match",131.41,5433.83,52020
2017-02-12,"Elimination Chamber","John Cena (c) vs. Dean Ambrose vs. AJ Styles vs. Bray Wyatt vs. The Miz vs. Baron Corbin in a six-man Elimination Chamber match for the WWE Championship",126.72,2262.93,11000
2017-03-05,Fastlane,"Kevin Owens (c) vs. Goldberg for the WWE Universal Championship",108.62,3407.97,15785
2017-04-02,"WrestleMania 33","The Undertaker vs. Roman Reigns in a no holds barred match",180,7185.25,75245
2017-05-30,Payback,"Roman Reigns vs. Braun Strowman",89.65,2262.93,13694
2017-05-21,Backlash,"Randy Orton (c) vs. Jinder Mahal for the WWE Championship",0,0,9800
2017-06-04,"Extreme Rules","Roman Reigns vs. Seth Rollins vs. Finn Bálor vs. Bray Wyatt vs. Samoa Joe in an Extreme Rules fatal 5-way match",125.82,3439.65,11769
2017-06-18,"Money in the Bank","	AJ Styles vs. Shinsuke Nakamura vs. Sami Zayn vs. Kevin Owens vs. Dolph Ziggler vs. Baron Corbin in a six-man Money in the Bank ladder match",298.71,3819.82,15392
2017-07-09,"Great Balls of Fire	","Brock Lesnar (c) vs. Samoa Joe for the WWE Universal Championship",0,0,16579
2017-07-23,Battleground,"Jinder Mahal (c) vs. Randy Orton in a Punjabi Prison match for the WWE Championship	",0,0,12500
2017-08-20,SummerSlam,"Brock Lesnar (c) vs. Roman Reigns vs. Samoa Joe vs. Braun Strowman in a fatal four-way match for the WWE Universal Championship",135.78,3711.2,16128
2017-09-24,"No Mercy","Brock Lesnar (c) vs. Braun Strowman for the WWE Universal Championship",0,0,16106
2017-10-08,"Hell in a Cell	","Shane McMahon vs. Kevin Owens in a falls count anywhere, Hell in a Cell match",113.15,2806.03,16206
2017-10-22,"TLC: Tables, Ladders & Chairs","Kurt Angle and The Shield (Seth Rollins and Dean Ambrose) vs. The Miz, Braun Strowman, Kane, Cesaro, and Sheamus in a 3-on-5 handicap Tables, Ladders, and Chairs match",126.72,4073.27,13381
2017-11-19,"Survivor Series","Team SmackDown (Shane McMahon, John Cena, Randy Orton, Shinsuke Nakamura, and Bobby Roode) vs. Team Raw (Kurt Angle, Triple H, Finn Bálor, Braun Strowman, and Samoa Joe) in a 5-on-5 Survivor Series match",127.63,4105.86,14478
2017-12-17," Clash of Champions","AJ Styles (c) vs. Jinder Mahal for the WWE Championship",0,0,14318
2018-01-28,"Royal Rumble","30-woman Royal Rumble match	",134.62,5566.55,17629
2018-02-25,"Elimination Chamber","Roman Reigns vs. John Cena vs. Seth Rollins vs. Braun Strowman vs. Finn Bálor vs. The Miz vs. Elias in a seven-man Elimination Chamber match	",126.88,2265.64,15126
2018-03-11,Fastlane,"AJ Styles (c) vs. John Cena vs. Kevin Owens vs. Sami Zayn vs. Dolph Ziggler vs. Baron Corbin in a six-pack challenge match for the WWE Championship	",108.75,3412.06,15119
2018-04-08,"WrestleMania 34","Brock Lesnar (c) vs. Roman Reigns for the WWE Universal Championship	",180,7193.88,78133
2018-04-27,"Greatest Royal Rumble","50-man Greatest Royal Rumble match	",135.63,5600.04,60000
2018-05-06,Backlash,"Roman Reigns vs. Samoa Joe	",0,0,14724
2018-06-17,"Money in the Bank","Braun Strowman vs. Finn Bálor vs. Bobby Roode vs. Kofi Kingston vs. Samoa Joe vs. Kevin Owens vs. The Miz vs. Rusev in an eight-man Money in the Bank ladder match	",299.07,3824.41,15214
2018-07-15,"Extreme Rules","Dolph Ziggler (c) vs. Seth Rollins in a 30-minute iron man match for the WWE Intercontinental Championship	",125.97,3443.78,14739
2018-08-19,SummerSlam,"Brock Lesnar (c) vs. Roman Reigns for the WWE Universal Championship	",135.94,3715.66,16169
2018-09-16,"Hell in a Cell","Roman Reigns (c) vs. Braun Strowman in a Hell in a Cell match for the WWE Universal Championship	",113.28,2809.4,15216
2018-10-06,"Super Show-Down","The Undertaker vs. Triple H in a no disqualification match	",0,0,70309
2018-10-28,Evolution,"Ronda Rousey (c) vs. Nikki Bella for the WWE Raw Womens Championship	",0,0,10900
2018-11-02,"Crown Jewel","D-Generation X (Triple H and Shawn Michaels) vs. The Brothers of Destruction (The Undertaker and Kane) in a tag team match	",0,0,16000
2018-11-18,"Survivor Series","Daniel Bryan vs. Brock Lesnar	",127.78,4110.79,16325
2018-11-24,Starrcade,"AJ Styles vs. Samoa Joe in a steel cage match	",0,0,7500
2018-12-16,"TLC: Tables, Ladders & Chairs","Becky Lynch (c) vs. Charlotte Flair vs. Asuka in a triple threat Tables, Ladders, and Chairs match for the WWE SmackDown Womens Championship	",126.88,4078.16,13408
2019-01-27,"Royal Rumble","30-person Royal Rumble match		",135.63,5600.04,48193
2019-02-17,"Elimination Chamber","Daniel Bryan (c) vs. AJ Styles vs. Jeff Hardy vs. Kofi Kingston vs. Randy Orton vs. Samoa Joe in a six-man Elimination Chamber match for the WWE Championship	",128.93,2302.35,10200
2019-03-10,Fastlane,"The Shield (Roman Reigns, Seth Rollins, and Dean Ambrose) vs. Baron Corbin, Drew McIntyre, and Bobby Lashley in a six-man tag team match	",0,0,10000
2019-04-07,"WrestleMania 35","Ronda Rousey (Raw-c) vs. Charlotte Flair (SmackDown-c) vs. Becky Lynch in a winner takes all triple threat match for the WWE Raw Womens Championship and WWE SmackDown Womens Championship	",183,7310.42,82265
2019-04-21,"Moline, Illinois","The Shield (Roman Reigns, Seth Rollins, and Dean Ambrose) vs. Baron Corbin, Drew McIntyre, and Bobby Lashley in a six-man tag team match	",0,0,0
2019-05-19,"Money in the Bank","Finn Bálor vs. Ricochet vs. Ali vs. Randy Orton vs. Baron Corbin vs. Drew McIntyre vs. Andrade vs. Brock Lesnar in an eight-man Money in the Bank ladder match	",303.91,3886.36,15700
2019-06-07,"Super ShowDown","The Undertaker vs. Goldberg	",0,0,21000
2019-06-23,"Stomping Grounds","Seth Rollins (c) vs. Baron Corbin in a no countout, no disqualification match for the WWE Universal Championship	",0,0,6000
2019-07-14,"Extreme Rules","Seth Rollins (c) vs. Brock Lesnar for the WWE Universal Championship	",128.01,3499.57,12800
2019-07-27,Smackville,"Kofi Kingston (c) vs. Dolph Ziggler vs. Samoa Joe in a triple threat match for the WWE Championship	",0,0,0
2019-08-11,SummerSlam,"Brock Lesnar (c) vs. Seth Rollins for the WWE Universal Championship	",138.14,3775.85,16904
2019-09-15,"Clash of Champions","Seth Rollins (c) vs. Braun Strowman for the WWE Universal Championship	",0,0,8000
2019-10-06,"Hell in a Cell","Seth Rollins (c) vs. "The Fiend" Bray Wyatt in a Hell in a Cell match for the WWE Universal Championship	",115.12,2854.91,10000
2019-10-31,"Crown Jewel","Seth Rollins (c) vs. "The Fiend" Bray Wyatt in a falls count anywhere match for the WWE Universal Championship	",0,0,70000
2019-11-24,"Survivor Series","Becky Lynch vs. Bayley vs. Shayna Baszler in a triple threat match	",129.85,4177.38,13271
2019-12-01,Starrcade,"Kevin Owens vs. Bobby Lashley	",0,0,0
2019-12-15,"TLC: Tables, Ladders & Chairs","The Kabuki Warriors (Asuka and Kairi Sane) (c) vs. Becky Lynch and Charlotte Flair in a tag team Tables, Ladders, and Chairs match for the WWE Womens Tag Team Championship	",128.93,4144.23,0
2020-01-26,"Royal Rumble","30-man Royal Rumble match	",0,0,42715
2020-02-27,"Super ShowDown",""The Fiend" Bray Wyatt (c) vs. Goldberg for the WWE Universal Championship	",0,0,0
2020-03-08,"Elimination Chamber","Natalya vs. Liv Morgan vs. Asuka vs. Shayna Baszler vs. Ruby Riott vs. Sarah Logan in a six-woman Elimination Chamber match	",130.81,2335.96,14853
2020-03-25,"WrestleMania 36","The Undertaker vs. AJ Styles in a boneyard match",0,0,0
2020-03-26,"WrestleMania 36","Brock Lesnar (c) vs. Drew McIntyre for the WWE Championship",0,0,0
2020-05-10,"Money in the Bank","Daniel Bryan vs. Rey Mysterio vs. Aleister Black vs. Otis vs. AJ Styles vs. King Corbin in a six-man Money in the Bank ladder match and Lacey Evans vs. Carmella vs. Dana Brooke vs. Asuka vs. Nia Jax vs. Shayna Baszler in a six-woman Money in the Bank ladder match for the WWE Raw Womens Championship",308.35,3943.11,0
2020-06-14,Backlash,"Edge vs. Randy Orton	",0,0,0
2020-07-19,"The Horror Show at Extreme Rules","Braun Strowman vs. Bray Wyatt in a Wyatt Swamp Fight	",129.88,3550.66,0
2020-08-23,SummerSlam,"Braun Strowman (c) vs. "The Fiend" Bray Wyatt in a falls count anywhere match for the WWE Universal Championship	",140.16,3830.98,0
2020-08-30,Payback,""The Fiend" Bray Wyatt (c) vs. Roman Reigns vs. Braun Strowman in a triple threat no holds barred match for the WWE Universal Championship	",92.5,2335.96,0
2020-09-27,"Clash of Champions","Roman Reigns (c) vs. Jey Uso for the WWE Universal Championship	",0,0,0
2020-10-25,"Hell in a Cell","Drew McIntyre (c) vs. Randy Orton in a Hell in a Cell match for the WWE Championship	",116.8,2896.59,0
2020-11-22,"Survivor Series","Drew McIntyre vs. Roman Reigns	",131.75,4238.37,0
2020-12-20,"TLC: Tables, Ladders & Chairs",""The Fiend" Bray Wyatt vs. Randy Orton in a Firefly Inferno match	",130.81,4204.73,0
2021-01-22,"Superstar Spectacle","Drew McIntyre and The Indus Sher (Rinku and Saurav) vs. Jinder Mahal and The Bollywood Boyz (Sunil Singh and Samir Singh)	",0,0,0
2021-01-31,"Royal Rumble","30-man Royal Rumble match	",0,0,0
2021-02-21,"Elimination Chamber","Drew McIntyre (c) vs. The Miz for the WWE Championship	",133.52,2384.32,0
2021-03-21,Fastlane,"Roman Reigns (c) vs. Daniel Bryan for the WWE Universal Championship	",0,0,0
2021-04-10,"WrestleMania 37"," Sasha Banks (c) vs. Bianca Belair for the WWE SmackDown Womens Championship",0,0,0
2021-04-11,"WrestleMania 37","Roman Reigns (c) vs. Edge vs. Daniel Bryan in a triple threat match for the WWE Universal Championship	",0,0,0
2021-05-16,"WrestleMania Backlash","Roman Reigns (c) vs. Cesaro for the WWE Universal Championship	",0,0,0
2021-06-20,"Hell in a Cell","Bobby Lashley (c) vs. Drew Mcintyre in a Last Chance Hell in a Cell match for the WWE Championship	",119.22,2956.55,0
2021-07-18,"Money in the Bank","Roman Reigns (c) vs. Edge for the WWE Universal Championship	",314.73,4024.73,0
2021-08-21,SummerSlam,"Roman Reigns (c) vs. John Cena for the WWE Universal Championship	",143.06,3910.28,0
2021-09-26,"Extreme Rules Nationwide","Roman Reigns (c) vs. "The Demon" Finn Bálor in an Extreme Rules match for the WWE Universal Championship	",132.57,3624.16,0
2021-10-21,"Crown Jewel","Roman Reigns (c) vs. Brock Lesnar for the WWE Universal Championship	",0,0,0
2021-11-21,"Survivor Series","Big E vs. Roman Reigns	",0,0,0
2022-01-01,"Day 1","Big E (c) vs. Seth Rollins vs. Kevin Owens vs. Bobby Lashley vs. Brock Lesnar in a Fatal five-way match for the WWE Championship",0,0,13657
2022-01-29,"Royal Rumble","30-man Royal Rumble match	",136,5556.25,44390
2022-02-19,"Elimination Chamber","Bobby Lashley (c) vs. AJ Styles vs. Austin Theory vs. Brock Lesnar vs. Riddle vs. Seth "Freakin" Rollins in a six-man Elimination Chamber match for the WWE Championship	",0,0,33328
2022-04-02,"WrestleMania 38","Stone Cold Steve Austin vs. Kevin Owens in a No Holds Barred match	",195,7809.92,65719
2022-04-03,"WrestleMania 38","Brock Lesnar (WWE-c) vs. Roman Reigns (Universal-c) in a Winner Takes All match to unify the WWE Championship and WWE Universal Championship",195,7809.92,65653
2022-05-08,"WrestleMania Backlash","Drew McIntyre and RK-Bro (Randy Orton and Riddle) vs. The Bloodline (Roman Reigns and The Usos (Jey Uso and Jimmy Uso)) in a six-man tag team match	",0,0,8050
2022-06-05,"Hell in a Cell","Cody Rhodes vs. Seth "Freakin" Rollins in a Hell in a Cell match	",122.98,3049.98,12834
2022-07-02,"Money in the Bank","Drew McIntyre vs. Madcap Moss vs. Omos vs. Riddle vs. Sami Zayn vs. Seth "Freakin" Rollins vs. Sheamus vs. Theory in an eight-man Money in the Bank ladder match	",324.68,4151.91,12076
2022-07-30,SummerSlam,"Roman Reigns (c) vs. Brock Lesnar in a Last Man Standing match for the Undisputed WWE Universal Championship	",147.5,4033.84,48449
2022-09-03,"Clash at the Castle","Roman Reigns (c) vs. Drew McIntyre for the Undisputed WWE Universal Championship	",0,0,62296
2022-10-08,"Extreme Rules","Matt Riddle vs. Seth "Freakin" Rollins in a Fight Pit match	",136.76,3738.69,15944
2022-11-05,"Crown Jewel","Roman Reigns (c) vs. Logan Paul for the Undisputed WWE Universal Championship",0,0,0
2022-11-29,"Survivor Series: WarGames","The Brawling Brutes (Sheamus, Ridge Holland, and Butch), Drew McIntyre, and Kevin Owens vs. The Bloodline (Roman Reigns, Solo Sikoa, Sami Zayn, and The Usos (Jey Uso and Jimmy Uso)) in a WarGames match	",0,0,15609
