ID_SUPERSTARS,SUPERSTARS,WEIGHT,HEIGHT,NATIONALITY,BIRTHDAY
30,"Booker T",113,190,"Plain Dealing, Louisiana, USA",1965-03-01
31,"John Bradshaw Layfield",128,195,"Athens, Texas, USA",1966-11-29
32,Natalya,61,165,"Calgary, Alberta, Canada",1982-05-27
33,R-Truth,104,185,"Charlotte, North Carolina, USA",1972-01-19
34,"Vince McMahon",110,187,"Pinehurst, North Carolina, USA",1945-08-24
35,Ricochet,85,175,"Alton, Illinois, USA",1988-10-11
36,Finlay,106,178,"Greenisland, Carrickfergus, Northern Ireland, UK",1960-01-31
37,Bayley,54,170,"Newark, California, USA",1989-06-15
38,"Trish Stratus",54,162,"Richmond Hill, Ontario, Canada",1975-12-18
39,"Kevin Nash",127,211,"Detroit, Michigan, USA",1959-07-09
40,"Baron Corbin",129,198,"Lenexa, Kansas, USA",1984-09-13
41,"Braun Strowman",155,203,"Sherrills Ford, North Carolina, USA",1983-09-06
42,"Johnny Gargano",90,178,"Lakewood, Ohio, USA",1987-08-14
43,Carlito,100,178,"San Juan, Puerto Rico, USA",1979-02-21
44,"Big E",130,180,"Tampa, Florida, USA",1986-03-01
45,"Alexa Bliss",46,155,"Columbus, Ohio, USA",1991-08-09
46,"Luke Gallows",132,203,"Cumberland, Maryland, USA",1983-12-22
47,"Robert Roode",106,183,"Peterborough, Ontario, Canada",1977-05-11
48,"IYO SKY",55,156,"Kamakura, Kanagawa, Japan",1990-05-08
49,"Wade Barrett",113,201,"Penwortham, Lancashire, England, UK",1980-08-10
50,Lita,61,170,"Fort Lauderdale, Florida, USA",1975-04-14
51,"Beth Phoenix",70,170,"Elmira, New York, USA",1980-11-24
52,"Jinder Mahal",108,196,"Calgary, Alberta, Canada",1986-07-19
53,"Xavier Woods",93,175,"Marietta, Georgia, USA",1986-09-04
54,"Nia Jax",119,183,"Sydney, New South Wales, Australia",1984-05-29
55,"Tommaso Ciampa",93,183,"Everett, Massachusetts, USA",1985-05-08
56,"Michael Cole",80,175,"Syracuse, New York, USA",1968-12-08
57,"Joseph Parks",159,195,"Washington, District Of Columbia, USA",1973-10-04
58,"Chad Gable",92,173,"Minneapolis, Minnesota, USA",1986-03-08
59,Butch,93,179,"Birmingham, West Midlands, England, UK",1993-11-09
60,"Jerry Lawler",110,183,"Memphis, Tennessee, USA",1949-11-29
61,"Bianca Belair",75,170,"Knoxville, Tennessee, USA",1989-04-09
62,"Apollo Crews",110,185,"Sacramento, California, USA",1987-08-25
63,"Ilja Dragunov",85,175,"Moskau, Russland",1993-10-10
64,Maryse,52,173,"Montreal, Quebec, Canada",1983-01-21
65,"Shane Helms",98,180,"Smithfield, North Carolina, USA",1972-07-12
66,Boogeyman,118,188,"Phoenix, Arizona, USA",1964-10-31
67,Carmella,49,164,"Worcester, Massachusetts, USA",1987-10-23
68,"TJ Wilson",91,175,"Calgary, Alberta, Canada",1980-07-11
69,"Rhea Ripley",77,175,"Adelaide, South Australia, Australia",1996-10-11
70,"Jamie Noble",91,170,"Hanover, West Virginia, USA",1976-12-23
71,"Matt Bloom",150,198,"Peabody, Massachusetts, USA",1973-11-14
72,"Road Dogg",111,193,"Marietta, Georgia, USA",1969-05-20
73,"Liv Morgan",53,163,"Paramus, New Jersey, USA",1994-06-08
74,"Karl Anderson",97,184,"Detroit, Michigan, USA",1980-01-20
75,"Tyler Bate",79,170,"Netherton, Dudley, West Midlands, England, UK",1997-03-07
76,"Kairi Sane",52,155,"Hikari, Yamaguchi, Japan",1988-09-23
77,"Titus ONeil",122,190,"Boynton Beach, Florida, USA",1977-04-29
78,"Jey Uso",109,188,"San Francisco, California, USA",1985-08-22
79,"David Otunga",110,185,"Elgin, Illinois, USA",1980-04-07
80,Tamina,77,175,Samoa,1978-01-10
81,"Jimmy Uso",109,188,"San Francisco, California, USA",1985-08-22
82,"LA Knight",104,185,"Hagerstown, Maryland, USA",1982-11-01
83,"Candice LeRae",51,157,"Riverside, California, USA",1985-09-29
84,"Shayna Baszler",62,170,"Sioux Falls, South Dakota, USA",1980-08-08
85,"Dominik Mysterio",98,188,"San Diego, California, USA",1997-04-05
86,Breeze,89,185,"Calgary, Alberta, Canada",1988-01-19
87,"Damian Priest",110,198,"West Nyack, New York, USA",1982-02-04
88,"Drew Gulak",92,180,"Philadelphia, Pennsylvania, USA",1987-04-28
89,"Akira Tozawa",71,170,"Nishinomiya, Hyogo, Japan",1985-07-22
90,"Nikki Cross",55,155,"Glasgow, Scotland, UK",1989-04-21
91,"Meiko Satomura",68,157,"Niigata, Japan",1979-11-17
92,"Cedric Alexander",93,178,"Charlotte, North Carolina, USA",1989-08-16
93,"Dakota Kai",58,165,"Auckland, New Zealand",1988-05-06
94,"Ludwig Kaiser",95,190,"Pinneberg, Schleswig-Holstein, Deutschland",1990-07-08
95,Funaki,81,170,"Tokyo, Japan",1968-08-24
96,"Cameron Grimes",100,183,"Cameron, North Carolina, USA",1993-09-30
97,"Jade Cargill",73,178,"Vero Beach, Florida, USA",1992-06-03
98,"Austin Theory",100,185,"McDonough, Georgia, USA",1997-08-02
99,"Karrion Kross",120,194,"New York City, New York, USA",1985-07-19
100,Otis,141,178,"Duluth, Minnesota, USA",1991-12-21
101,Tatanka,120,180,"Pembroke, North Carolina, USA",1965-06-08
102,"Bob Backlund",109,185,"Princeton, Minnesota, USA",1949-08-14
103,"Zelina Vega",48,154,"New York City, New York, USA",1990-12-27
104,"Shawn Daivari",92,178,"Minneapolis, Minnesota, USA",1984-04-30
105,"Petey Williams",80,170,"Windsor, Ontario, Canada",1981-08-26
106,"Alba Fyre",51,173,"Glasgow, Scotland, UK",1992-08-11
107,"Nick Aldis",110,192,"Kings Lynn, Norfolk, England, UK",1986-11-06
108,Dijak,118,201,"Worcester, Massachusetts, USA",1987-04-23
109,"Jason Jordan",107,190,"Tinley Park, Illinois, USA",1988-09-28
110,"Angelo Dawkins",128,196,"Fairfield, Ohio, USA",1990-07-24
111,"Dragon Lee",75,171,"Tala, Jalisco, Mexiko",1995-05-15
112,Omos,182,221,"Lagos, Nigeria",1994-05-16
113,"Charles Robinson",68,170,"Charlotte, North Carolina, USA",1964-07-02
114,"Corey Graves",93,185,"Pittsburgh, Pennsylvania, USA",1984-02-24
115,"Oney Lorcan",88,185,"Boston, Massachusetts, USA",1985-12-21
116,"Santos Escobar",90,180,"Mexico City, Distrito Federal, Mexiko",1984-04-30
117,"JD McDonagh",83,178,"Bray, County Wicklow, Ireland",1990-03-15
118,"Bronson Reed",160,183,"Adelaide, South Australia, Australia",1988-08-25
119,"Noam Dar",77,175,"Tel Aviv, Israel",1993-07-28
120,"Steve Corino",107,185,"Winnipeg, Manitoba, Canada",1973-05-29
121,"Bron Breakker",104,183,"Woodstock, Georgia, USA",1997-10-24
122,"Montez Ford",105,185,"Chicago, Illinois, USA",1990-05-31
123,"Blair Davenport",64,170,"Harrogate, North Yorkshire, England, UK",1996-03-22
124,"Raquel Rodriguez",80,183,"La Feria, Texas, USA",1991-01-12
125,"Sonya Deville",59,170,"New Jersey, USA",1993-09-24
126,"Giovanni Vinci",100,184,"Pfalzen, Südtirol, Italien",1990-07-21
127,"Logan Paul",0,188,"Westlake, Ohio, USA",1995-04-01
128,"Molly Holly",64,162,"Forest Lake, Minnesota, USA",1977-09-07
129,Shotzi,57,167,"California, USA",1991-03-14
130,Michin,60,170,"Fontana, California, USA",1989-04-16
131,"Piper Niven",100,173,"Ayrshire, Scotland, UK",1991-06-05
132,"Joaquin Wilde",77,170,"Los Angeles, California, USA",1986-10-05
133,"Adam Pearce",108,188,"Lake Forest, Illinois, USA",1978-06-24
134,"Dexter Lumis",109,189,"Jacksonville, Florida, USA",1984-01-17
135,"Drake Maverick",64,163,"Birmingham, England, UK",1983-01-30
136,"Angel Garza",96,181,"Monterrey, Nuevo Leon, Mexiko",1992-09-23
137,"Tegan Nox",64,167,"Bargoed, Wales, UK",1994-11-15
138,"Sara Amato",68,175,"Martinez, California, USA",1980-11-13
139,"Lexis King",93,185,"Cincinnati, Ohio, USA",1993-09-09
140,"Byron Saxton",100,183,"Burke, Virginia, USA",1981-08-20
141,Ivar,133,187,"Lynn, Massachusetts, USA",1984-03-03
142,"Carmelo Hayes",80,178,"Framingham, Massachusetts, USA",1994-08-01
143,"Solo Sikoa",113,188,"Sacramento, California, USA",1993-03-17
144,"Chelsea Green",57,170,"Victoria, British Columbia, Canada",1991-04-04
145,Axiom,70,173,"Madrid, Comunidad de Madrid, Spanien",1997-05-09
146,"Johnny Saint",70,174,"Failsworth, Greater Manchester, England, UK",1941-06-29
147,"Humberto Carrillo",90,184,"Monterrey, Nuevo Leon, Mexiko",1995-10-20
148,"Mr. Stone",91,175,"Alpine, New Jersey, USA",1983-10-01
149,"Grayson Waller",93,190,"Sydney, New South Wales, Australia",1990-03-21
150,"Sylvain Grenier",107,183,"Montreal, Quebec, Canada",1977-03-26
151,Erik,112,185,"Cleveland, Ohio, USA",1984-08-21
152,"Wes Lee",86,175,"Dayton, Ohio, USA",1994-11-02
153,"Zoey Stark",63,173,"Utah, USA",1994-01-25
154,"Pat McAfee",100,185,"Plum, Pennsylvania, USA",1987-02-05
155,"Norman Smiley",108,188,"Northampton, England, UK",1965-02-28
156,"Michael Hayes",107,185,"Pensacola, Florida, USA",1959-03-29
157,"Xia Li",62,162,"Chongqing, China",1988-07-28
158,Valhalla,63,165,"Jeffersonville, Indiana, USA",1993-09-10
159,"Gigi Dolin",52,165,"Douglasville, Georgia, USA",1997-06-05
160,"Terry Taylor",102,185,"Greenville, South Carolina, USA",1955-08-12
161,"Roxanne Perez",0,155,"Laredo, Texas, USA",2001-11-05
162,"Jeremy Borash",82,178,"Minneapolis, Minnesota, USA",1977-05-28
163,"Indi Hartwell",0,0,"Melbourne, Victoria, Australia",1996-08-17
164,"Steve Keirn",100,185,"Tampa, Florida, USA",1951-09-10
165,"Cora Jade",0,0,"Chicago, Illinois, USA",2001-01-14
166,"Ridge Holland",118,185,"Liversedge, West Yorkshire, England, UK",1988-05-29
167,"Joe Coffey",114,180,"Glasgow, Scotland, UK",1988-05-22
168,"Tiffany Stratton",65,170,"Prior Lake, Minnesota, USA",1999-05-01
169,"Joe Gacy",113,183,"Franklinville, New Jersey, USA",1987-08-08
170,"Bruce Prichard",113,183,"El Paso, Texas, USA",1963-03-07
171,"Katana Chance",43,153,"Glen Ridge, New Jersey, USA",1990-01-14
172,"Robbie Brookside",93,188,"Liverpool, Merseyside, England, UK",1966-03-11
173,Wolfgang,116,186,"Glasgow, Scotland, UK",1986-12-03
174,"Nathan Frazer",82,0,"Jersey, Channel Islands, UK",1998-07-23
175,"Cruz Del Toro",80,171,"Cordoba, Veracruz, Mexiko",1990-11-25
176,"Von Wagner",116,196,"Osseo, Minnesota, USA",1994-06-30
177,Scarlett,57,170,"Chicago, Illinois, USA",1991-05-13
178,"Lyra Valkyria",0,0,"Dublin, Ireland",1996-10-23
179,SCRYPTS,59,170,"St. Louis, Missouri, USA",1993-03-13
180,"Harvey Wippleman",70,170,USA,1965-10-27
181,"Gabe Sapolsky",0,173,"Brookline, Massachusetts, USA",1972-09-26
182,"Jacy Jayne",0,0,"Clearwater Beach, Florida, USA",1996-02-02
183,"Andre Chase",98,188,"Draper, North Carolina, USA",1989-04-22
184,"Tony DAngelo",89,183,"Oak Park, Illinois, USA",1995-06-09
185,"Holger Böschen",0,195,"Bremen, Deutschland",1975-09-12
186,Veer,115,194,"Lucknow, Indien",1988-08-08
187,"Isla Dawn",68,170,"Glasgow, Scotland, UK",1994-02-02
188,"Wendy Choo",0,157,"New York City, New York, USA",1992-01-18
189,"Nikkita Lyons",0,173,"Las Vegas, Nevada, USA",1999-05-08
190,"Eddie Dennis",99,198,"Swansea, Wales, UK",1986-03-22
191,"Kayden Carter",0,0,"Winter Park, Florida, USA",1988-05-20
192,"Paul Ellering",111,180,"Melrose, Minnesota, USA",1953-08-22
193,"Eddy Thorpe",101,185,"Reno, Nevada, USA",1990-07-15
194,"Ivy Nile",57,157,"Knoxville, Tennessee, USA",1992-02-26
195,"Mark Coffey",108,188,"Glasgow, Scotland, UK",1990-02-13
196,"Josh Briggs",122,204,"Bullhead City, Arizona, USA",1994-12-02
197,"Duke Hudson",115,196,"Adelaide, South Australia, Australia",1989-06-29
198,"Charlie Dempsey",94,0,"Blackpool, Lancashire, England, UK",0
199,"Julius Creed",104,190,"Lexington, Ohio, USA",1994-10-03
200,"Johnny Moss",100,180,"Egremont, England, UK",1980-03-11
